,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10843,2017-08-01,Compound 15-3-20,334.0,2017-08,8,2017,75.17,163.16,0.394,2.44,182.53
10845,2017-08-01,Compound 24-2.2-4.5,289.0,2017-08,8,2017,75.17,163.16,0.394,2.44,182.53
10846,2017-08-01,Compound 19-0-15,300.0,2017-08,8,2017,75.17,163.16,0.394,2.44,182.53
10847,2017-08-01,Compound 25-4-0,313.0,2017-08,8,2017,75.17,163.16,0.394,2.44,182.53
10848,2017-09-01,Calcium Ammonium Nitrate (27.5% N),227.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10849,2017-09-01,Urea (46% N),347.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10851,2017-09-01,Muriate of Potash (50% K),365.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10852,2017-09-01,Compound 0-10-20,359.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10853,2017-09-01,Compound 0-7-30,363.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10854,2017-09-01,Compound 7-6-17,447.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10855,2017-09-01,Compound 10-10-20,374.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10856,2017-09-01,Compound 14-7-14,348.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10857,2017-09-01,Compound 18-6-12,335.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10858,2017-09-01,Compound 24-2.5-10,341.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10859,2017-09-01,Compound 27-2.5-5,333.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10861,2017-09-01,Compound 8-5-18,360.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10862,2017-09-01,Compound 20-4-10,324.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10863,2017-09-01,Sulphate of Ammonia (21%),264.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10865,2017-09-01,Compound 10-5-25,384.8356687898089,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10866,2017-09-01,Compound 13-6-20,384.8356687898089,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10867,2017-09-01,Compound 15-3-20,342.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10869,2017-09-01,Compound 24-2.2-4.5,290.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10870,2017-09-01,Compound 19-0-15,298.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10871,2017-09-01,Compound 25-4-0,315.0,2017-09,9,2017,71.34,183.81,0.426,2.48,180.87
10872,2017-10-01,Calcium Ammonium Nitrate (27.5% N),234.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10873,2017-10-01,Urea (46% N),349.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10875,2017-10-01,Muriate of Potash (50% K),366.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10876,2017-10-01,Compound 0-10-20,362.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10877,2017-10-01,Compound 0-7-30,363.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10878,2017-10-01,Compound 7-6-17,450.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10879,2017-10-01,Compound 10-10-20,379.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10880,2017-10-01,Compound 14-7-14,355.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10881,2017-10-01,Compound 18-6-12,340.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10882,2017-10-01,Compound 24-2.5-10,347.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10883,2017-10-01,Compound 27-2.5-5,338.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10885,2017-10-01,Compound 8-5-18,368.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10886,2017-10-01,Compound 20-4-10,333.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10887,2017-10-01,Sulphate of Ammonia (21%),270.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10889,2017-10-01,Compound 10-5-25,384.8356687898089,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10890,2017-10-01,Compound 13-6-20,384.8356687898089,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10891,2017-10-01,Compound 15-3-20,354.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10893,2017-10-01,Compound 24-2.2-4.5,301.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10894,2017-10-01,Compound 19-0-15,305.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10895,2017-10-01,Compound 25-4-0,323.0,2017-10,10,2017,68.05,214.78,0.438,2.43,183.31
10896,2017-11-01,Calcium Ammonium Nitrate (27.5% N),236.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
10897,2017-11-01,Urea (46% N),349.0,2017-11,11,2017,68.23,238.82,0.441,2.55,183.8
