,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10157,2015-04-01,Compound 0-7-30,412.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10158,2015-04-01,Compound 7-6-17,498.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10159,2015-04-01,Compound 10-10-20,453.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10160,2015-04-01,Compound 14-7-14,431.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10161,2015-04-01,Compound 18-6-12,422.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10162,2015-04-01,Compound 24-2.5-10,443.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10163,2015-04-01,Compound 27-2.5-5,434.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10165,2015-04-01,Compound 8-5-18,430.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10166,2015-04-01,Compound 20-4-10,425.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10167,2015-04-01,Sulphate of Ammonia (21%),342.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10169,2015-04-01,Compound 10-5-25,435.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10170,2015-04-01,Compound 13-6-20,421.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10171,2015-04-01,Compound 15-3-20,414.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10173,2015-04-01,Compound 24-2.2-4.5,397.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10174,2015-04-01,Compound 19-0-15,400.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10175,2015-04-01,Compound 25-4-0,410.0,2015-04,4,2015,105.9,241.25,0.313,2.39,277.44
10176,2015-05-01,Calcium Ammonium Nitrate (27.5% N),334.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10177,2015-05-01,Urea (46% N),414.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10179,2015-05-01,Muriate of Potash (50% K),418.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10180,2015-05-01,Compound 0-10-20,410.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10181,2015-05-01,Compound 0-7-30,415.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10182,2015-05-01,Compound 7-6-17,498.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10183,2015-05-01,Compound 10-10-20,456.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10184,2015-05-01,Compound 14-7-14,434.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10185,2015-05-01,Compound 18-6-12,423.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10186,2015-05-01,Compound 24-2.5-10,443.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10187,2015-05-01,Compound 27-2.5-5,434.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10189,2015-05-01,Compound 8-5-18,426.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10190,2015-05-01,Compound 20-4-10,428.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10191,2015-05-01,Sulphate of Ammonia (21%),345.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10193,2015-05-01,Compound 10-5-25,423.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10194,2015-05-01,Compound 13-6-20,426.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10195,2015-05-01,Compound 15-3-20,415.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10197,2015-05-01,Compound 24-2.2-4.5,398.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10198,2015-05-01,Compound 19-0-15,402.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10199,2015-05-01,Compound 25-4-0,411.0,2015-05,5,2015,99.05,237.53,0.299,2.55,269.69
10200,2015-06-01,Calcium Ammonium Nitrate (27.5% N),325.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10201,2015-06-01,Urea (46% N),413.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10203,2015-06-01,Muriate of Potash (50% K),417.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10204,2015-06-01,Compound 0-10-20,410.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10205,2015-06-01,Compound 0-7-30,414.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10206,2015-06-01,Compound 7-6-17,495.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10207,2015-06-01,Compound 10-10-20,453.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10208,2015-06-01,Compound 14-7-14,432.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10209,2015-06-01,Compound 18-6-12,420.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10210,2015-06-01,Compound 24-2.5-10,436.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10211,2015-06-01,Compound 27-2.5-5,425.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10213,2015-06-01,Compound 8-5-18,427.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10214,2015-06-01,Compound 20-4-10,422.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10215,2015-06-01,Sulphate of Ammonia (21%),340.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10217,2015-06-01,Compound 10-5-25,425.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10218,2015-06-01,Compound 13-6-20,424.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10219,2015-06-01,Compound 15-3-20,384.8356687898089,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10221,2015-06-01,Compound 24-2.2-4.5,390.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10222,2015-06-01,Compound 19-0-15,399.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10223,2015-06-01,Compound 25-4-0,404.0,2015-06,6,2015,106.04,257.53,0.291,2.47,268.9
10224,2015-07-01,Calcium Ammonium Nitrate (27.5% N),318.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10225,2015-07-01,Urea (46% N),410.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10227,2015-07-01,Muriate of Potash (50% K),418.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10228,2015-07-01,Compound 0-10-20,407.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10229,2015-07-01,Compound 0-7-30,413.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10230,2015-07-01,Compound 7-6-17,496.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10231,2015-07-01,Compound 10-10-20,452.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10232,2015-07-01,Compound 14-7-14,430.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10233,2015-07-01,Compound 18-6-12,418.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10234,2015-07-01,Compound 24-2.5-10,430.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10235,2015-07-01,Compound 27-2.5-5,421.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10237,2015-07-01,Compound 8-5-18,427.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10238,2015-07-01,Compound 20-4-10,420.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10239,2015-07-01,Sulphate of Ammonia (21%),336.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10241,2015-07-01,Compound 10-5-25,418.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10242,2015-07-01,Compound 13-6-20,421.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10243,2015-07-01,Compound 15-3-20,384.8356687898089,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10245,2015-07-01,Compound 24-2.2-4.5,385.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10246,2015-07-01,Compound 19-0-15,394.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10247,2015-07-01,Compound 25-4-0,403.0,2015-07,7,2015,110.09,258.18,0.281,2.57,274.33
10248,2015-08-01,Calcium Ammonium Nitrate (27.5% N),312.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10249,2015-08-01,Urea (46% N),410.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10251,2015-08-01,Muriate of Potash (50% K),418.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10252,2015-08-01,Compound 0-10-20,406.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10253,2015-08-01,Compound 0-7-30,412.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10254,2015-08-01,Compound 7-6-17,489.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10255,2015-08-01,Compound 10-10-20,451.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10256,2015-08-01,Compound 14-7-14,429.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10257,2015-08-01,Compound 18-6-12,416.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10258,2015-08-01,Compound 24-2.5-10,428.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10259,2015-08-01,Compound 27-2.5-5,418.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10261,2015-08-01,Compound 8-5-18,426.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10262,2015-08-01,Compound 20-4-10,419.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10263,2015-08-01,Sulphate of Ammonia (21%),335.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10265,2015-08-01,Compound 10-5-25,384.8356687898089,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10266,2015-08-01,Compound 13-6-20,384.8356687898089,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10267,2015-08-01,Compound 15-3-20,384.8356687898089,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10269,2015-08-01,Compound 24-2.2-4.5,382.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10270,2015-08-01,Compound 19-0-15,401.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10271,2015-08-01,Compound 25-4-0,401.0,2015-08,8,2015,108.66,246.61,0.288,2.48,270.74
10272,2015-09-01,Calcium Ammonium Nitrate (27.5% N),310.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10273,2015-09-01,Urea (46% N),409.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10275,2015-09-01,Muriate of Potash (50% K),418.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10276,2015-09-01,Compound 0-10-20,408.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10277,2015-09-01,Compound 0-7-30,413.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10278,2015-09-01,Compound 7-6-17,485.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10279,2015-09-01,Compound 10-10-20,451.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10280,2015-09-01,Compound 14-7-14,429.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10281,2015-09-01,Compound 18-6-12,415.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10282,2015-09-01,Compound 24-2.5-10,427.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10283,2015-09-01,Compound 27-2.5-5,418.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10285,2015-09-01,Compound 8-5-18,427.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10286,2015-09-01,Compound 20-4-10,420.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10287,2015-09-01,Sulphate of Ammonia (21%),334.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10289,2015-09-01,Compound 10-5-25,384.8356687898089,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10290,2015-09-01,Compound 13-6-20,384.8356687898089,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10291,2015-09-01,Compound 15-3-20,384.8356687898089,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10293,2015-09-01,Compound 24-2.2-4.5,383.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10294,2015-09-01,Compound 19-0-15,402.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10295,2015-09-01,Compound 25-4-0,403.0,2015-09,9,2015,110.47,248.91,0.302,2.36,268.61
10296,2015-10-01,Calcium Ammonium Nitrate (27.5% N),310.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10297,2015-10-01,Urea (46% N),409.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10299,2015-10-01,Muriate of Potash (50% K),418.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10300,2015-10-01,Compound 0-10-20,408.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10301,2015-10-01,Compound 0-7-30,413.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10302,2015-10-01,Compound 7-6-17,485.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10303,2015-10-01,Compound 10-10-20,451.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10304,2015-10-01,Compound 14-7-14,429.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10305,2015-10-01,Compound 18-6-12,415.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10306,2015-10-01,Compound 24-2.5-10,427.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10307,2015-10-01,Compound 27-2.5-5,418.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10309,2015-10-01,Compound 8-5-18,427.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10310,2015-10-01,Compound 20-4-10,420.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10311,2015-10-01,Sulphate of Ammonia (21%),334.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10313,2015-10-01,Compound 10-5-25,384.8356687898089,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10314,2015-10-01,Compound 13-6-20,384.8356687898089,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10315,2015-10-01,Compound 15-3-20,384.8356687898089,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10317,2015-10-01,Compound 24-2.2-4.5,383.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10318,2015-10-01,Compound 19-0-15,402.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10319,2015-10-01,Compound 25-4-0,403.0,2015-10,10,2015,110.01,223.25,0.322,2.07,268.56
10320,2015-11-01,Calcium Ammonium Nitrate (27.5% N),310.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10321,2015-11-01,Urea (46% N),409.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10323,2015-11-01,Muriate of Potash (50% K),418.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10324,2015-11-01,Compound 0-10-20,408.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10325,2015-11-01,Compound 0-7-30,413.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10326,2015-11-01,Compound 7-6-17,485.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10327,2015-11-01,Compound 10-10-20,451.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10328,2015-11-01,Compound 14-7-14,429.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10329,2015-11-01,Compound 18-6-12,415.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10330,2015-11-01,Compound 24-2.5-10,427.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10331,2015-11-01,Compound 27-2.5-5,418.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10333,2015-11-01,Compound 8-5-18,427.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10334,2015-11-01,Compound 20-4-10,420.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10335,2015-11-01,Sulphate of Ammonia (21%),334.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10337,2015-11-01,Compound 10-5-25,384.8356687898089,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10338,2015-11-01,Compound 13-6-20,384.8356687898089,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10339,2015-11-01,Compound 15-3-20,384.8356687898089,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10341,2015-11-01,Compound 24-2.2-4.5,383.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10342,2015-11-01,Compound 19-0-15,402.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10343,2015-11-01,Compound 25-4-0,403.0,2015-11,11,2015,114.89,245.25,0.322,1.94,280.48
10344,2015-12-01,Calcium Ammonium Nitrate (27.5% N),310.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10345,2015-12-01,Urea (46% N),409.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10347,2015-12-01,Muriate of Potash (50% K),418.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10348,2015-12-01,Compound 0-10-20,408.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10349,2015-12-01,Compound 0-7-30,413.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10350,2015-12-01,Compound 7-6-17,485.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10351,2015-12-01,Compound 10-10-20,451.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10352,2015-12-01,Compound 14-7-14,429.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10353,2015-12-01,Compound 18-6-12,415.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10354,2015-12-01,Compound 24-2.5-10,427.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10355,2015-12-01,Compound 27-2.5-5,418.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10357,2015-12-01,Compound 8-5-18,427.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10358,2015-12-01,Compound 20-4-10,420.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10359,2015-12-01,Sulphate of Ammonia (21%),334.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10361,2015-12-01,Compound 10-5-25,384.8356687898089,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10362,2015-12-01,Compound 13-6-20,384.8356687898089,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10363,2015-12-01,Compound 15-3-20,384.8356687898089,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10365,2015-12-01,Compound 24-2.2-4.5,383.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10366,2015-12-01,Compound 19-0-15,402.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10367,2015-12-01,Compound 25-4-0,403.0,2015-12,12,2015,113.55,242.74,0.304,1.77,277.21
10368,2016-01-01,Calcium Ammonium Nitrate (27.5% N),306.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10369,2016-01-01,Urea (46% N),396.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10371,2016-01-01,Muriate of Potash (50% K),416.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10372,2016-01-01,Compound 0-10-20,412.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10373,2016-01-01,Compound 0-7-30,417.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10374,2016-01-01,Compound 7-6-17,483.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10375,2016-01-01,Compound 10-10-20,451.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10376,2016-01-01,Compound 14-7-14,424.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10377,2016-01-01,Compound 18-6-12,412.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10378,2016-01-01,Compound 24-2.5-10,422.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10379,2016-01-01,Compound 27-2.5-5,412.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10381,2016-01-01,Compound 8-5-18,423.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10382,2016-01-01,Compound 20-4-10,405.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10383,2016-01-01,Sulphate of Ammonia (21%),322.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10385,2016-01-01,Compound 10-5-25,384.8356687898089,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10386,2016-01-01,Compound 13-6-20,384.8356687898089,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10387,2016-01-01,Compound 15-3-20,384.8356687898089,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10389,2016-01-01,Compound 24-2.2-4.5,380.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10390,2016-01-01,Compound 19-0-15,399.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10391,2016-01-01,Compound 25-4-0,399.0,2016-01,1,2016,112.92,215.4,0.301,2.09,277.68
10392,2016-02-01,Calcium Ammonium Nitrate (27.5% N),302.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10393,2016-02-01,Urea (46% N),379.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10395,2016-02-01,Muriate of Potash (50% K),401.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10396,2016-02-01,Compound 0-10-20,408.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10397,2016-02-01,Compound 0-7-30,412.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10398,2016-02-01,Compound 7-6-17,497.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10399,2016-02-01,Compound 10-10-20,440.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10400,2016-02-01,Compound 14-7-14,418.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10401,2016-02-01,Compound 18-6-12,407.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10402,2016-02-01,Compound 24-2.5-10,415.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10403,2016-02-01,Compound 27-2.5-5,406.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10405,2016-02-01,Compound 8-5-18,417.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10406,2016-02-01,Compound 20-4-10,401.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10407,2016-02-01,Sulphate of Ammonia (21%),320.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10409,2016-02-01,Compound 10-5-25,384.8356687898089,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10410,2016-02-01,Compound 13-6-20,406.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10411,2016-02-01,Compound 15-3-20,404.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10413,2016-02-01,Compound 24-2.2-4.5,373.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10414,2016-02-01,Compound 19-0-15,394.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10415,2016-02-01,Compound 25-4-0,392.0,2016-02,2,2016,103.27,173.07,0.297,1.77,271.94
10416,2016-03-01,Calcium Ammonium Nitrate (27.5% N),297.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10417,2016-03-01,Urea (46% N),372.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10419,2016-03-01,Muriate of Potash (50% K),400.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10420,2016-03-01,Compound 0-10-20,402.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10421,2016-03-01,Compound 0-7-30,405.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10422,2016-03-01,Compound 7-6-17,492.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10423,2016-03-01,Compound 10-10-20,438.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10424,2016-03-01,Compound 14-7-14,414.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10425,2016-03-01,Compound 18-6-12,404.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10426,2016-03-01,Compound 24-2.5-10,409.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10427,2016-03-01,Compound 27-2.5-5,401.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10429,2016-03-01,Compound 8-5-18,422.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10430,2016-03-01,Compound 20-4-10,399.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10431,2016-03-01,Sulphate of Ammonia (21%),318.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10433,2016-03-01,Compound 10-5-25,422.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10434,2016-03-01,Compound 13-6-20,416.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10435,2016-03-01,Compound 15-3-20,394.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10437,2016-03-01,Compound 24-2.2-4.5,366.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10438,2016-03-01,Compound 19-0-15,384.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10439,2016-03-01,Compound 25-4-0,389.0,2016-03,3,2016,103.18,181.8,0.252,1.53,271.69
10440,2016-04-01,Calcium Ammonium Nitrate (27.5% N),284.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10441,2016-04-01,Urea (46% N),359.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10443,2016-04-01,Muriate of Potash (50% K),391.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10444,2016-04-01,Compound 0-10-20,397.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10445,2016-04-01,Compound 0-7-30,400.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10446,2016-04-01,Compound 7-6-17,475.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10447,2016-04-01,Compound 10-10-20,424.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10448,2016-04-01,Compound 14-7-14,396.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10449,2016-04-01,Compound 18-6-12,388.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10450,2016-04-01,Compound 24-2.5-10,394.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10451,2016-04-01,Compound 27-2.5-5,387.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10453,2016-04-01,Compound 8-5-18,406.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10454,2016-04-01,Compound 20-4-10,381.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
10455,2016-04-01,Sulphate of Ammonia (21%),304.0,2016-04,4,2016,100.65,173.08,0.249,1.68,265.9
