,statistic,date,fertiliser_type,unit,value,month_year,month,year
158,Fertiliser Price,1980-07-01,Compound 20-4-10,Euro per Tonne,,1980-07,7,1980
159,Fertiliser Price,1980-07-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-07,7,1980
160,Fertiliser Price,1980-07-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-07,7,1980
161,Fertiliser Price,1980-07-01,Compound 10-5-25,Euro per Tonne,,1980-07,7,1980
162,Fertiliser Price,1980-07-01,Compound 13-6-20,Euro per Tonne,,1980-07,7,1980
163,Fertiliser Price,1980-07-01,Compound 15-3-20,Euro per Tonne,,1980-07,7,1980
164,Fertiliser Price,1980-07-01,Compound 24-2.2-10,Euro per Tonne,,1980-07,7,1980
165,Fertiliser Price,1980-07-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-07,7,1980
166,Fertiliser Price,1980-07-01,Compound 19-0-15,Euro per Tonne,,1980-07,7,1980
167,Fertiliser Price,1980-07-01,Compound 25-4-0,Euro per Tonne,,1980-07,7,1980
168,Fertiliser Price,1980-08-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,130.0,1980-08,8,1980
169,Fertiliser Price,1980-08-01,Urea (46% N),Euro per Tonne,167.0,1980-08,8,1980
170,Fertiliser Price,1980-08-01,Granular Superphosphate (16% P),Euro per Tonne,175.0,1980-08,8,1980
171,Fertiliser Price,1980-08-01,Muriate of Potash (50% K),Euro per Tonne,115.0,1980-08,8,1980
172,Fertiliser Price,1980-08-01,Compound 0-10-20,Euro per Tonne,135.0,1980-08,8,1980
173,Fertiliser Price,1980-08-01,Compound 0-7-30,Euro per Tonne,133.0,1980-08,8,1980
174,Fertiliser Price,1980-08-01,Compound 7-6-17,Euro per Tonne,169.0,1980-08,8,1980
175,Fertiliser Price,1980-08-01,Compound 10-10-20,Euro per Tonne,172.0,1980-08,8,1980
176,Fertiliser Price,1980-08-01,Compound 14-7-14,Euro per Tonne,166.0,1980-08,8,1980
177,Fertiliser Price,1980-08-01,Compound 18-6-12,Euro per Tonne,166.0,1980-08,8,1980
178,Fertiliser Price,1980-08-01,Compound 24-2.5-10,Euro per Tonne,168.0,1980-08,8,1980
179,Fertiliser Price,1980-08-01,Compound 27-2.5-5,Euro per Tonne,164.0,1980-08,8,1980
180,Fertiliser Price,1980-08-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-08,8,1980
181,Fertiliser Price,1980-08-01,Compound 8-5-18,Euro per Tonne,,1980-08,8,1980
182,Fertiliser Price,1980-08-01,Compound 20-4-10,Euro per Tonne,,1980-08,8,1980
183,Fertiliser Price,1980-08-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-08,8,1980
184,Fertiliser Price,1980-08-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-08,8,1980
185,Fertiliser Price,1980-08-01,Compound 10-5-25,Euro per Tonne,,1980-08,8,1980
186,Fertiliser Price,1980-08-01,Compound 13-6-20,Euro per Tonne,,1980-08,8,1980
187,Fertiliser Price,1980-08-01,Compound 15-3-20,Euro per Tonne,,1980-08,8,1980
188,Fertiliser Price,1980-08-01,Compound 24-2.2-10,Euro per Tonne,,1980-08,8,1980
189,Fertiliser Price,1980-08-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-08,8,1980
190,Fertiliser Price,1980-08-01,Compound 19-0-15,Euro per Tonne,,1980-08,8,1980
191,Fertiliser Price,1980-08-01,Compound 25-4-0,Euro per Tonne,,1980-08,8,1980
192,Fertiliser Price,1980-09-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124.0,1980-09,9,1980
