"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200810","2008M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","200811","2008M11","1","Milk (per litre), actual fat and protein","Euro","0.33"
"AJM07","Manufacturing Milk Prices (including VAT)","200811","2008M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","200812","2008M12","1","Milk (per litre), actual fat and protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","200812","2008M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","200901","2009M01","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200901","2009M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200902","2009M02","1","Milk (per litre), actual fat and protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","200902","2009M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.257"
"AJM07","Manufacturing Milk Prices (including VAT)","200903","2009M03","1","Milk (per litre), actual fat and protein","Euro","0.219"
"AJM07","Manufacturing Milk Prices (including VAT)","200903","2009M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.216"
"AJM07","Manufacturing Milk Prices (including VAT)","200904","2009M04","1","Milk (per litre), actual fat and protein","Euro","0.218"
"AJM07","Manufacturing Milk Prices (including VAT)","200904","2009M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.219"
"AJM07","Manufacturing Milk Prices (including VAT)","200905","2009M05","1","Milk (per litre), actual fat and protein","Euro","0.216"
"AJM07","Manufacturing Milk Prices (including VAT)","200905","2009M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.217"
"AJM07","Manufacturing Milk Prices (including VAT)","200906","2009M06","1","Milk (per litre), actual fat and protein","Euro","0.212"
"AJM07","Manufacturing Milk Prices (including VAT)","200906","2009M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200907","2009M07","1","Milk (per litre), actual fat and protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200907","2009M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.214"
"AJM07","Manufacturing Milk Prices (including VAT)","200908","2009M08","1","Milk (per litre), actual fat and protein","Euro","0.221"
"AJM07","Manufacturing Milk Prices (including VAT)","200908","2009M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.217"
"AJM07","Manufacturing Milk Prices (including VAT)","200909","2009M09","1","Milk (per litre), actual fat and protein","Euro","0.249"
"AJM07","Manufacturing Milk Prices (including VAT)","200909","2009M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.236"
"AJM07","Manufacturing Milk Prices (including VAT)","200910","2009M10","1","Milk (per litre), actual fat and protein","Euro","0.279"
"AJM07","Manufacturing Milk Prices (including VAT)","200910","2009M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.261"
"AJM07","Manufacturing Milk Prices (including VAT)","200911","2009M11","1","Milk (per litre), actual fat and protein","Euro","0.295"
"AJM07","Manufacturing Milk Prices (including VAT)","200911","2009M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.274"
"AJM07","Manufacturing Milk Prices (including VAT)","200912","2009M12","1","Milk (per litre), actual fat and protein","Euro","0.285"
"AJM07","Manufacturing Milk Prices (including VAT)","200912","2009M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","201001","2010M01","1","Milk (per litre), actual fat and protein","Euro","0.289"
"AJM07","Manufacturing Milk Prices (including VAT)","201001","2010M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","201002","2010M02","1","Milk (per litre), actual fat and protein","Euro","0.274"
"AJM07","Manufacturing Milk Prices (including VAT)","201002","2010M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.263"
"AJM07","Manufacturing Milk Prices (including VAT)","201003","2010M03","1","Milk (per litre), actual fat and protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","201003","2010M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.258"
"AJM07","Manufacturing Milk Prices (including VAT)","201004","2010M04","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201004","2010M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","201005","2010M05","1","Milk (per litre), actual fat and protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201005","2010M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","201006","2010M06","1","Milk (per litre), actual fat and protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","201006","2010M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.303"
"AJM07","Manufacturing Milk Prices (including VAT)","201007","2010M07","1","Milk (per litre), actual fat and protein","Euro","0.304"
"AJM07","Manufacturing Milk Prices (including VAT)","201007","2010M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
